ID_Venta,Fecha,Región,País,Ciudad,Categoría,Producto,Canal,Vendedor,Unidades,Precio_Unitario,Descuento_%,Costo_Unitario,Satisfacción,Método_Pago,Año,Mes,Día_Semana,Latitud,Longitud,Ventas_Totales,Beneficio
1,2019-01-23,Europa,España,Ciudad_8,Hogar,Silla,Tienda,Vendedor_13,58,380.43,11.39,222.16,8,Tarjeta,2019,Julio,Viernes,-5.4613,44.308,19551.743334,6666.463333999998
2,2018-08-16,América,Brasil,Ciudad_22,Electrónica,Televisor,Online,Vendedor_11,70,12.32,26.44,9.54,7,Transferencia,2018,Septiembre,Martes,5.286,-30.8599,634.38144,-33.41855999999996
3,2020/12/17,Europa,Italia,Ciudad_27,Hogar,Silla,,Vendedor_14,72,738.14,3.0,554.89,5,Tarjeta,2020,Junio,Sábado,43.6441,-15.5786,51551.6976,11599.617599999998
4,2020-09-23,Europa,Alemania,Ciudad_3,Hogar,Cama,Distribuidor,Vendedor_7,76,683.36,14.41,544.97,7,Efectivo,2020,Marzo,Miércoles,27.5838,47.6431,44451.474624,3033.754624000001
5,2020-03-06,África,Sudáfrica,Ciudad_25,Ropa,Zapatos,Tienda,Vendedor_8,4,378.11,9.26,317.36,10,Transferencia,2020,Julio,Sábado,0.2239,96.4153,1372.388056,102.94805599999995
6,2020-03-17,Europa,Francia,Ciudad_2,Juguetes,Puzzle,Distribuidor,Vendedor_6,59,728.26,19.78,541.52,1,Efectivo,2020,Septiembre,Domingo,27.7397,-58.9029,34468.400148,2518.7201480000003
7,2020-10-01,África,Nigeria,Ciudad_18,Alimentos,Leche,Distribuidor,Vendedor_7,63,651.61,12.43,326.22,9,Transferencia,2020,Junio,Jueves,30.4569,27.0742,35948.737251,15396.877250999998
8,2019-10-06,Europa,,Ciudad_6,Alimentos,Queso,Online,Vendedor_14,10,71.17,0.5,36.0,5,Tarjeta,2019,Febrero,Domingo,-15.5577,-86.0969,708.1415000000001,348.14150000000006
9,2018-05-24,Asia,Japón,Ciudad_20,Hogar,Lámpara,Tienda,Vendedor_12,42,399.71,3.43,249.74,6,Efectivo,2018,Mayo,Lunes,1.0116,-58.1818,16211.997774,5722.917774
10,2018-12-17,África,Sudáfrica,Ciudad_1,Ropa,Camisa,Tienda,Vendedor_3,5,576.47,4.81,450.71,7,Transferencia,2018,Noviembre,Domingo,-4.9155,4.7791,2743.7089650000003,490.15896500000053
11,2019-07-19,África,Nigeria,Ciudad_29,Juguetes,Muñeca,Distribuidor,Vendedor_5,17,774.48,26.27,482.16,2,Efectivo,2019,Diciembre,Martes,-24.7642,-98.3039,9707.409768000001,1510.6897680000002
12,2020-04-16,América,México,Ciudad_10,Alimentos,Cereal,Online,Vendedor_14,80,409.55,11.34,261.61,4,Transferencia,2020,Julio,Viernes,-39.5576,33.1915,29048.562400000003,8119.7624
13,2019-11-04,África,Sudáfrica,Ciudad_12,Hogar,Cama,Tienda,Vendedor_1,21,164.68,9.83,147.36,3,Efectivo,2019,Abril,Miércoles,33.7701,86.4375,3118.331076,23.77107599999954
14,2020-06-11,África,Egipto,Ciudad_20,Electrónica,Televisor,Online,Vendedor_3,22,137.41,16.15,83.44,6,Transferencia,2020,Mayo,Miércoles,-38.6087,-52.9621,2534.80227,699.1222700000003
15,2018-07-03,África,Egipto,Ciudad_3,Alimentos,Pan,Tienda,Vendedor_1,53,63.19,25.99,51.52,3,Efectivo,2018,Octubre,Viernes,7.0782,-55.2572,2478.646707,-251.91329300000007
16,2018-02-27,Asia,India,Ciudad_8,Hogar,Silla,Tienda,Vendedor_15,36,90.65,1.37,56.05,10,Transferencia,2018,Febrero,Jueves,38.506,-91.9953,3218.69142,1200.8914200000002
17,2019-12-16,África,,Ciudad_11,,Auriculares,Online,Vendedor_11,31,131.36,25.35,88.54,7,Transferencia,2019,Septiembre,Miércoles,-18.554,-58.4771,3039.86744,295.12743999999975
18,2019-04-26,América,,Ciudad_18,Electrónica,Smartphone,Distribuidor,Vendedor_10,41,362.63,9.4,190.45,6,Transferencia,2019,Febrero,Miércoles,11.7807,95.9906,13470.25398,5661.80398
19,2018-11-11,África,Nigeria,Ciudad_10,,Mesa,Distribuidor,Vendedor_4,40,163.38,10.81,135.28,2,Efectivo,2018,Noviembre,Viernes,44.0735,-21.9043,5828.74488,417.5448800000004
20,2018-04-13,América,Brasil,Ciudad_3,Ropa,Chaqueta,Distribuidor,Vendedor_15,39,200.45,3.03,149.25,10,Tarjeta,2018,Abril,Lunes,-42.7672,10.241,7580.678234999999,1759.9282349999994
21,2020-03-25,América,EEUU,Ciudad_28,Electrónica,Smartphone,Tienda,Vendedor_8,61,690.81,4.63,483.96,6,Tarjeta,2020,Noviembre,Martes,-35.0437,-71.6924,40188.355316999994,10666.795316999996
22,2020-12-23,Asia,India,Ciudad_18,Electrónica,Smartphone,Online,Vendedor_15,27,117.64,27.31,60.31,6,Transferencia,2020,Septiembre,Domingo,-29.4566,-40.2147,2308.837932,680.4679319999998
23,2018/06/06,Europa,,Ciudad_21,Ropa,Chaqueta,Online,Vendedor_11,58,,16.48,464.01,9,Efectivo,2018,Julio,Domingo,-24.2031,-95.1183,31368.842495999994,4456.262495999996
24,2019-02-08,África,Sudáfrica,Ciudad_11,Electrónica,Smartphone,Distribuidor,Vendedor_3,76,104.48,7.77,86.88,7,Transferencia,2019,Marzo,Viernes,-1.4003,-64.4844,7323.504704000001,720.6247040000017
25,2020-04-02,África,Egipto,Ciudad_21,Ropa,Chaqueta,Tienda,Vendedor_11,62,765.45,21.39,485.89,10,Transferencia,2020,Mayo,Sábado,42.1604,52.6389,37306.655190000005,7181.475190000005
26,2018-09-19,Asia,Japón,Ciudad_14,Alimentos,Leche,Tienda,Vendedor_5,39,679.95,11.15,530.71,8,Transferencia,2018,Febrero,Viernes,-12.2802,-68.8442,23561.287425000002,2863.597425
27,2018-02-09,Europa,España,Ciudad_5,Juguetes,Auto de juguete,Distribuidor,Vendedor_11,45,310.26,25.36,222.67,1,Transferencia,2018,Mayo,Sábado,23.6908,-83.256,10421.012879999998,400.86287999999877
28,2018-09-14,América,Argentina,Ciudad_9,Ropa,Zapatos,Tienda,Vendedor_7,22,728.52,13.14,545.63,8,Tarjeta,2018,Julio,Viernes,40.9296,32.1019,13921.434384,1917.5743839999996
29,2018-03-18,Europa,Italia,Ciudad_25,Alimentos,Pan,Online,Vendedor_9,57,465.37,0.92,413.82,4,Efectivo,2018,Marzo,Miércoles,-29.9553,-37.7729,26282.049972,2694.3099720000027
30,2018-12-01,Asia,Corea del Sur,Ciudad_25,Ropa,Chaqueta,Tienda,Vendedor_7,16,616.41,17.12,402.7,5,Tarjeta,2018,Febrero,Viernes,4.5287,92.9891,8174.089727999999,1730.8897279999992
31,2018-08-12,Europa,España,Ciudad_26,Alimentos,Queso,Distribuidor,Vendedor_13,40,352.55,20.32,283.25,6,Tarjeta,2018,Agosto,Sábado,-19.5201,-20.1195,11236.4736,-93.52640000000065
32,2019-09-14,África,Sudáfrica,Ciudad_10,Juguetes,Auto de juguete,Online,Vendedor_9,1,795.89,19.07,627.89,9,Tarjeta,2019,Octubre,Domingo,43.7477,42.4258,644.113777,16.22377700000004
33,2020-12-03,Europa,Italia,Ciudad_21,Alimentos,Leche,Tienda,Vendedor_9,1,$544.45,17.38,483.54,6,Transferencia,2020,Diciembre,Sábado,-0.7298,49.1537,449.82459000000006,-33.71540999999996
34,2019-12-14,Asia,China,Ciudad_5,Juguetes,Pelota,,Vendedor_13,51,627.07,25.39,506.05,10,Tarjeta,2019,Mayo,Domingo,37.3942,8.8494,23860.703277,-1947.8467229999987
35,2018-01-06,África,Nigeria,Ciudad_23,Juguetes,Pelota,Tienda,Vendedor_9,6,220.3,2.96,162.2,2,Efectivo,2018,Noviembre,Jueves,0.7164,89.2254,1282.6747200000002,309.4747200000003
36,2019-09-24,América,Argentina,Ciudad_24,Hogar,Lámpara,Online,Vendedor_9,27,193.6,10.02,102.11,9,Transferencia,2019,Agosto,Viernes,-45.0258,-40.6247,4703.43456,1946.46456
37,2018-12-08,Asia,India,Ciudad_29,,Leche,Tienda,Vendedor_9,52,142.03,23.69,120.25,6,Transferencia,2018,Mayo,Viernes,34.3793,-93.8931,5635.920836,-617.0791639999998
38,2020-05-15,África,Nigeria,Ciudad_5,Juguetes,Pelota,Tienda,Vendedor_4,10,502.58,4.97,446.9,8,Transferencia,2020,Marzo,Viernes,2.6592,-72.2761,4776.01774,307.01774000000023
39,2019-01-02,África,,Ciudad_25,Hogar,Cama,Online,Vendedor_2,27,576.19,9.16,312.61,7,Efectivo,2019,Febrero,Martes,30.9478,-95.3433,14132.096892000001,5691.626892
40,2019-03-08,Europa,España,Ciudad_18,Juguetes,Auto de juguete,Tienda,Vendedor_11,36,98.86,20.78,53.2,7,Tarjeta,2019,Agosto,Jueves,-26.4263,-43.2717,2819.408112,904.208112
41,2019/10/10,África,Egipto,Ciudad_29,Juguetes,Puzzle,Tienda,Vendedor_8,76,93.2,6.42,49.54,1,Tarjeta,2019,Junio,Jueves,41.884,-20.0143,6628.45856,2863.41856
42,2019-09-02,Europa,España,Ciudad_30,,Auriculares,Online,Vendedor_15,70,50.41,11.38,27.83,8,Transferencia,2019,Enero,Lunes,2.4904,-74.2149,3127.1339399999997,1179.0339399999998
43,2019-11-09,Asia,China,Ciudad_8,Juguetes,Muñeca,Online,Vendedor_1,64,511.82,22.34,396.51,4,Transferencia,2019,Julio,Miércoles,46.9595,28.3207,25438.682367999998,62.04236799999853
44,2019-12-18,Europa,España,Ciudad_23,Alimentos,Leche,Tienda,Vendedor_7,78,559.95,19.15,497.04,6,Transferencia,2019,Septiembre,Martes,-7.588,32.4771,35312.12685000001,-3456.993149999995
45,2018-09-12,Asia,China,Ciudad_5,Hogar,Mesa,Online,Vendedor_3,8,735.32,25.64,618.31,1,Transferencia,2018,Septiembre,Jueves,-40.0718,-37.4625,4374.271616000001,-572.2083839999987
46,2019-07-02,América,Argentina,Ciudad_5,Ropa,Zapatos,Distribuidor,Vendedor_15,58,24.57,15.74,13.17,6,Tarjeta,2019,Enero,Domingo,23.2606,-37.3587,1200.755556,436.89555600000006
47,2020-03-21,Asia,Corea del Sur,Ciudad_18,Electrónica,Smartphone,Online,Vendedor_7,32,404.68,6.16,351.75,9,Efectivo,2020,Agosto,Lunes,31.4681,4.7493,12152.054784,896.0547839999999
48,2019-06-14,América,Brasil,Ciudad_11,Ropa,Pantalón,Tienda,Vendedor_7,67,262.76,12.29,144.66,2,Tarjeta,2019,Noviembre,Viernes,-20.1679,-29.4768,15441.275331999997,5749.055331999998
49,2020-02-19,América,EEUU,Ciudad_17,Ropa,Chaqueta,Distribuidor,Vendedor_6,42,460.62,13.55,281.83,8,Efectivo,2020,Julio,Domingo,30.1368,-73.0838,16724.65158,4887.791580000003
50,2018/05/22,África,Nigeria,Ciudad_4,Ropa,Chaqueta,Tienda,Vendedor_13,48,325.05,13.94,289.91,9,Transferencia,2018,Enero,Martes,-27.8868,-73.3185,13427.42544,-488.2545599999994
51,2020-02-26,Europa,Italia,Ciudad_6,Alimentos,Pan,Online,Vendedor_9,0,-50,6.13,301.88,10,Transferencia,2020,Febrero,Domingo,35.0627,28.6478,18830.556675,8264.756675
52,2019-09-07,África,Sudáfrica,Ciudad_27,Alimentos,Queso,Tienda,Vendedor_12,37,179.85,6.01,125.44,4,Efectivo,2019,Noviembre,Miércoles,29.8161,45.1637,6254.517554999999,1613.2375549999997
53,2020-06-28,Asia,Corea del Sur,Ciudad_10,Ropa,Camisa,Distribuidor,Vendedor_9,49,413.86,14.61,273.77,9,Transferencia,2020,Julio,Lunes,48.7882,-98.7198,17316.357646,3901.627646000001
54,2020-05-15,América,EEUU,Ciudad_19,Hogar,Lámpara,Distribuidor,Vendedor_11,74,795.06,8.48,528.38,9,Efectivo,2020,Noviembre,Viernes,-19.809,1.2635,53845.27948799999,14745.15948799999
55,2018-05-15,Europa,Francia,Ciudad_21,Hogar,Silla,Tienda,Vendedor_12,73,33.82,12.63,20.72,1,Tarjeta,2018,Enero,Jueves,-22.8042,56.308,2157.0429820000004,644.4829820000004
56,2018-05-14,África,Nigeria,Ciudad_24,Juguetes,Auto de juguete,Online,Vendedor_8,46,120.03,4.45,107.79,5,Efectivo,2018,Octubre,Domingo,-24.2079,2.7577,5275.67859,317.3385900000003
57,2018-12-01,África,Nigeria,Ciudad_25,Juguetes,Puzzle,Tienda,Vendedor_4,63,759.73,12.06,509.06,2,Tarjeta,2018,Marzo,Martes,-39.6735,-68.8574,42090.713405999995,10019.933405999996
58,2018-12-18,América,Argentina,Ciudad_24,,Camisa,Online,Vendedor_7,79,764.08,1.53,448.75,7,Efectivo,2018,Noviembre,Lunes,17.9068,66.9819,59438.776504,23987.526504
59,2020-11-17,América,Brasil,Ciudad_20,Hogar,Mesa,Tienda,Vendedor_13,7,630.21,20.3,337.08,7,Tarjeta,2020,Agosto,Miércoles,-0.2039,-21.3835,3515.94159,1156.38159
60,2019-09-07,África,Sudáfrica,Ciudad_28,Ropa,Zapatos,Distribuidor,Vendedor_15,26,137.86,7.73,109.91,9,Efectivo,2019,Noviembre,Domingo,28.8712,24.7113,3307.2889720000003,449.62897200000043
61,2020-12-08,África,Sudáfrica,Ciudad_7,Electrónica,Smartphone,Distribuidor,Vendedor_5,8,434.73,13.21,349.5,2,Tarjeta,2020,Mayo,Miércoles,-8.8357,-73.9597,3018.417336,222.41733599999998
62,2020/06/06,África,Sudáfrica,Ciudad_29,Alimentos,Leche,Tienda,Vendedor_5,36,386.72,9.17,269.36,8,Efectivo,2020,Agosto,Martes,10.5732,-63.7593,12645.279936,2948.319936
63,2019-02-05,África,Egipto,Ciudad_8,Electrónica,Smartphone,Distribuidor,Vendedor_12,18,517.83,24.36,443.57,6,Transferencia,2019,Agosto,Miércoles,38.7255,39.6697,7050.359016,-933.9009839999999
64,2019-01-27,América,EEUU,Ciudad_3,Alimentos,Leche,Distribuidor,Vendedor_2,29,452.79,15.09,345.91,5,Efectivo,2019,Enero,Domingo,-19.4695,23.0748,11149.455681,1118.0656809999982
65,2018-01-12,Europa,Alemania,Ciudad_4,Hogar,Lámpara,Distribuidor,Vendedor_12,67,306.52,3.65,195.81,2,Efectivo,2018,Noviembre,Viernes,-42.2625,44.9858,19787.24534,6667.975340000001
66,2020-01-17,Asia,India,Ciudad_4,Ropa,Chaqueta,Distribuidor,Vendedor_1,47,29.78,4.17,19.65,4,Tarjeta,2020,Junio,Miércoles,38.8192,91.7903,1341.294178,417.74417800000015
67,2019-05-18,Asia,Japón,Ciudad_4,Alimentos,Queso,Tienda,Vendedor_2,74,498.41,15.83,361.73,9,Efectivo,2019,Abril,Sábado,-36.6876,20.0183,31043.865578000004,4275.845578000004
68,2019-12-12,Europa,Francia,Ciudad_12,Ropa,Zapatos,Tienda,Vendedor_9,3,204.08,8.13,145.32,8,Tarjeta,2019,Diciembre,Lunes,-43.0925,95.4945,562.464888,126.504888
69,2019-07-27,América,Brasil,Ciudad_20,Juguetes,Pelota,,Vendedor_2,75,,26.37,69.11,6,Efectivo,2019,Marzo,Martes,-6.0282,-76.428,6506.867174999999,1323.6171749999994
70,2019-07-09,Europa,Alemania,Ciudad_20,Hogar,Silla,Distribuidor,Vendedor_1,0,99999,16.86,261.66,8,Tarjeta,2019,Octubre,Sábado,43.3527,-18.3138,4334.977798,-113.24220200000036
71,2019-10-21,África,Sudáfrica,Ciudad_23,Electrónica,Auriculares,Online,Vendedor_11,1,650.69,24.95,478.23,9,Transferencia,2019,Septiembre,Miércoles,-14.3582,-5.2172,488.342845,10.112844999999993
72,2020-01-20,Europa,Francia,Ciudad_10,Electrónica,Smartphone,Online,Vendedor_2,6,,9.41,624.86,6,Efectivo,2020,Noviembre,Domingo,-6.5127,-24.7393,3986.811546000001,237.65154600000096
